Feature,Data Type,Unique Values,Missing Values,% Missing
V274,float64,8315,460110,77.91
V254,float64,45,460110,77.91
V260,float64,9,460110,77.91
V253,float64,66,460110,77.91
V257,float64,49,460110,77.91
V258,float64,67,460110,77.91
V218,float64,401,460110,77.91
V217,float64,304,460110,77.91
V219,float64,379,460110,77.91
V223,float64,17,460110,77.91
V226,float64,81,460110,77.91
V225,float64,35,460110,77.91
V224,float64,79,460110,77.91
V231,float64,294,460110,77.91
V228,float64,55,460110,77.91
V229,float64,91,460110,77.91
V233,float64,333,460110,77.91
V235,float64,24,460110,77.91
V230,float64,66,460110,77.91
id_05,float64,93,453675,76.82
id_06,float64,101,453675,76.82
R_emaildomain,str,60,453249,76.75
id_20,float64,394,451279,76.42
id_19,float64,522,451222,76.41
id_17,float64,104,451171,76.4
V213,float64,8317,450909,76.36
V215,float64,2747,450909,76.36
V214,float64,2282,450909,76.36
V206,float64,1780,450909,76.36
V183,float64,42,450909,76.36
V168,float64,965,450909,76.36
V173,float64,8,450909,76.36
V181,float64,25,450909,76.36
V212,float64,8868,450909,76.36
V211,float64,7624,450909,76.36
V205,float64,2240,450909,76.36
V207,float64,3246,450909,76.36
V216,float64,2532,450909,76.36
V167,float64,873,450909,76.36
V182,float64,84,450909,76.36
V193,float64,38,450909,76.36
V192,float64,45,450909,76.36
V187,float64,215,450909,76.36
V204,float64,12858,450909,76.36
V202,float64,10970,450909,76.36
V203,float64,14951,450909,76.36
V199,float64,46,450909,76.36
V196,float64,39,450909,76.36
V186,float64,39,450909,76.36
V179,float64,921,450909,76.36
V177,float64,862,450909,76.36
V178,float64,1236,450909,76.36
V176,float64,49,450909,76.36
V172,float64,32,450909,76.36
V191,float64,22,450909,76.36
V190,float64,43,450909,76.36
V175,float64,15,450721,76.32
V209,float64,3451,450721,76.32
V208,float64,2552,450721,76.32
V169,float64,20,450721,76.32
V180,float64,84,450721,76.32
V174,float64,9,450721,76.32
V184,float64,17,450721,76.32
V185,float64,32,450721,76.32
V189,float64,31,450721,76.32
V171,float64,62,450721,76.32
V170,float64,49,450721,76.32
V200,float64,46,450721,76.32
V201,float64,56,450721,76.32
V210,float64,2836,450721,76.32
V197,float64,15,450721,76.32
V198,float64,22,450721,76.32
V194,float64,8,450721,76.32
V188,float64,31,450721,76.32
V195,float64,17,450721,76.32
id_31,str,130,450258,76.25
DeviceType,str,2,449730,76.16
id_02,float64,115655,449668,76.15
id_15,str,3,449555,76.13
id_11,float64,365,449562,76.13
id_38,str,2,449555,76.13
id_35,str,2,449555,76.13
id_36,str,2,449555,76.13
id_37,str,2,449555,76.13
id_29,str,2,449562,76.13
id_28,str,2,449562,76.13
V251,float64,19,449124,76.05
V250,float64,19,449124,76.05
V255,float64,46,449124,76.05
V256,float64,48,449124,76.05
V259,float64,68,449124,76.05
V272,float64,2507,449124,76.05
V271,float64,2787,449124,76.05
V270,float64,2340,449124,76.05
V234,float64,122,449124,76.05
V239,float64,24,449124,76.05
V238,float64,24,449124,76.05
V245,float64,58,449124,76.05
V227,float64,50,449124,76.05
V220,float64,26,449124,76.05
V222,float64,76,449124,76.05
V221,float64,77,449124,76.05
id_12,str,2,446307,75.58
id_01,float64,77,446307,75.58
dist1,float64,2651,352271,59.65
M5,str,2,350482,59.35
M7,str,2,346265,58.64
M9,str,2,346252,58.63
M8,str,2,346252,58.63
D5,float64,688,309841,52.47
M4,str,3,281444,47.66
D2,float64,641,280797,47.55
V11,float64,6,279287,47.29
V3,float64,10,279287,47.29
V4,float64,7,279287,47.29
V6,float64,10,279287,47.29
V5,float64,7,279287,47.29
V10,float64,5,279287,47.29
V1,float64,2,279287,47.29
V9,float64,9,279287,47.29
V8,float64,9,279287,47.29
V2,float64,9,279287,47.29
V7,float64,10,279287,47.29
D11,float64,676,279287,47.29
M1,str,2,271100,45.91
M3,str,2,271100,45.91
M2,str,2,271100,45.91
D3,float64,649,262878,44.51
M6,str,2,169360,28.68
V52,float64,9,168969,28.61
V49,float64,6,168969,28.61
V48,float64,6,168969,28.61
V45,float64,49,168969,28.61
V43,float64,9,168969,28.61
V50,float64,6,168969,28.61
V47,float64,9,168969,28.61
V46,float64,7,168969,28.61
V44,float64,49,168969,28.61
V51,float64,7,168969,28.61
V35,float64,4,168969,28.61
V37,float64,55,168969,28.61
V36,float64,6,168969,28.61
V42,float64,9,168969,28.61
V39,float64,16,168969,28.61
V41,float64,2,168969,28.61
V38,float64,55,168969,28.61
V40,float64,18,168969,28.61
D4,float64,808,168922,28.6
P_emaildomain,str,59,94456,15.99
V81,float64,20,89164,15.1
V90,float64,6,89164,15.1
V78,float64,32,89164,15.1
V75,float64,5,89164,15.1
V82,float64,8,89164,15.1
V94,float64,3,89164,15.1
V83,float64,8,89164,15.1
V84,float64,8,89164,15.1
V85,float64,8,89164,15.1
V86,float64,31,89164,15.1
V92,float64,8,89164,15.1
V93,float64,8,89164,15.1
V77,float64,31,89164,15.1
V87,float64,31,89164,15.1
V76,float64,7,89164,15.1
V79,float64,8,89164,15.1
V80,float64,20,89164,15.1
V91,float64,7,89164,15.1
V89,float64,3,89164,15.1
V88,float64,2,89164,15.1
D15,float64,859,89113,15.09
V67,float64,9,77096,13.06
V68,float64,3,77096,13.06
V71,float64,7,77096,13.06
V70,float64,7,77096,13.06
V69,float64,6,77096,13.06
V60,float64,17,77096,13.06
V59,float64,17,77096,13.06
V66,float64,8,77096,13.06
V74,float64,9,77096,13.06
V65,float64,2,77096,13.06
V63,float64,8,77096,13.06
V62,float64,11,77096,13.06
V61,float64,7,77096,13.06
V64,float64,8,77096,13.06
V72,float64,11,77096,13.06
V73,float64,8,77096,13.06
V54,float64,7,77096,13.06
V56,float64,52,77096,13.06
V58,float64,11,77096,13.06
V55,float64,18,77096,13.06
V53,float64,6,77096,13.06
V57,float64,7,77096,13.06
V22,float64,9,76073,12.88
V20,float64,15,76073,12.88
V21,float64,6,76073,12.88
V27,float64,4,76073,12.88
V28,float64,4,76073,12.88
V29,float64,6,76073,12.88
V32,float64,15,76073,12.88
V31,float64,8,76073,12.88
V19,float64,8,76073,12.88
V18,float64,16,76073,12.88
V25,float64,7,76073,12.88
V24,float64,14,76073,12.88
V23,float64,14,76073,12.88
V26,float64,13,76073,12.88
V14,float64,2,76073,12.88
V15,float64,8,76073,12.88
V16,float64,15,76073,12.88
V30,float64,8,76073,12.88
V33,float64,7,76073,12.88
V34,float64,13,76073,12.88
V12,float64,4,76073,12.88
V13,float64,7,76073,12.88
V17,float64,16,76073,12.88
D10,float64,818,76022,12.87
addr2,float64,74,65706,11.13
addr1,float64,332,65706,11.13
card2,float64,500,8933,1.51
card5,float64,119,4259,0.72
card3,float64,114,1565,0.27
card4,str,4,1577,0.27
card6,str,4,1571,0.27
V282,float64,33,1269,0.21
V281,float64,23,1269,0.21
V283,float64,62,1269,0.21
V289,float64,13,1269,0.21
V288,float64,11,1269,0.21
V301,float64,14,1269,0.21
V296,float64,94,1269,0.21
V314,float64,11377,1269,0.21
V315,float64,6973,1269,0.21
V313,float64,5529,1269,0.21
V300,float64,12,1269,0.21
D1,float64,641,1269,0.21
V107,float64,2,314,0.05
V108,float64,8,314,0.05
V109,float64,8,314,0.05
V133,float64,9949,314,0.05
V130,float64,12332,314,0.05
V131,float64,4444,314,0.05
V132,float64,6560,314,0.05
V137,float64,4252,314,0.05
V125,float64,14,314,0.05
V123,float64,14,314,0.05
V124,float64,14,314,0.05
V127,float64,24414,314,0.05
V126,float64,10299,314,0.05
V128,float64,14507,314,0.05
V129,float64,1968,314,0.05
V110,float64,8,314,0.05
V100,float64,29,314,0.05
V99,float64,89,314,0.05
V102,float64,1285,314,0.05
V106,float64,56,314,0.05
V134,float64,8178,314,0.05
V135,float64,3724,314,0.05
V136,float64,4852,314,0.05
V112,float64,10,314,0.05
V111,float64,10,314,0.05
V113,float64,10,314,0.05
V121,float64,4,314,0.05
V114,float64,7,314,0.05
V115,float64,7,314,0.05
V116,float64,7,314,0.05
V117,float64,4,314,0.05
V101,float64,870,314,0.05
V104,float64,16,314,0.05
V103,float64,928,314,0.05
V122,float64,4,314,0.05
V118,float64,4,314,0.05
V97,float64,976,314,0.05
V95,float64,881,314,0.05
V96,float64,1410,314,0.05
V105,float64,100,314,0.05
V119,float64,4,314,0.05
V120,float64,4,314,0.05
V98,float64,13,314,0.05
card1,int64,13553,0,0.0
TransactionAmt,float64,20902,0,0.0
TransactionDT,int64,573349,0,0.0
isFraud,int64,2,0,0.0
ProductCD,str,5,0,0.0
V298,float64,94,12,0.0
V295,float64,928,12,0.0
V299,float64,50,12,0.0
V294,float64,1286,12,0.0
V291,float64,219,12,0.0
V292,float64,173,12,0.0
V297,float64,13,12,0.0
V286,float64,9,12,0.0
V287,float64,32,12,0.0
V290,float64,58,12,0.0
V285,float64,96,12,0.0
V280,float64,975,12,0.0
V279,float64,881,12,0.0
V284,float64,13,12,0.0
V293,float64,870,12,0.0
V321,float64,5560,12,0.0
V320,float64,6439,12,0.0
V319,float64,4799,12,0.0
V318,float64,12309,12,0.0
V306,float64,16210,12,0.0
V303,float64,21,12,0.0
V304,float64,17,12,0.0
V305,float64,2,12,0.0
V309,float64,4236,12,0.0
V308,float64,23064,12,0.0
V307,float64,37367,12,0.0
V310,float64,19136,12,0.0
V312,float64,8068,12,0.0
V311,float64,3098,12,0.0
V316,float64,9814,12,0.0
V317,float64,15184,12,0.0
V302,float64,17,12,0.0
C1,float64,1657,0,0.0
C2,float64,1216,0,0.0
C3,float64,27,0,0.0
C7,float64,1103,0,0.0
C4,float64,1260,0,0.0
C5,float64,319,0,0.0
C6,float64,1328,0,0.0
C10,float64,1231,0,0.0
C9,float64,205,0,0.0
C8,float64,1253,0,0.0
C11,float64,1476,0,0.0
C14,float64,1108,0,0.0
C13,float64,1597,0,0.0
C12,float64,1199,0,0.0
TransactionID,int64,590540,0,0.0
